"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2009","13,670,573","475"
,,"2010","14,065,081","446"
,,"2011","13,618,564","459"
,,"2012","13,158,550","442"
,,"2013","13,878,422","416"
,,"2014","15,111,719","404"
,,"2015","15,522,600","388"
,,"2016","16,649,668","382"
,,"2017","17,244,965","377"
,,"2018","19,670,947","374"
,,"2019","17,481,492","363"
,,"2020","15,987,131","368"
,,"2021","17,131,801","355"
,,"2022","20,269,042","364"
,,"2023","18,800,074","354"
,,"2024","19,043,043","341"
,"Printing and related support activities  [323]","2007","1,231,843","892"
,,"2008","1,154,673","855"
,,"2009","938,411","756"
,,"2010","889,170","693"
,,"2011","856,188","699"
,,"2012","855,710","660"
,,"2013","766,229","612"
,,"2014","1,028,559","598"
,,"2015","1,304,920","593"
,,"2016","1,164,648","617"
,,"2017","985,676","599"
,,"2018","1,030,755","616"
,,"2019","983,962","635"
,,"2020","928,949","567"
,,"2021","982,931","575"
,,"2022","1,229,629","601"
,,"2023","1,208,505","630"
,,"2024","1,367,776","631"
,"Petroleum and coal product manufacturing  [324]","2007","14,228,611","102"
,,"2008","17,924,949","88"
,,"2009","12,209,663","90"
,,"2010","11,918,708","78"
,,"2011","16,524,434","82"
,,"2012","18,990,226","82"
,,"2013","17,422,271","77"
,,"2014","16,028,231","82"
,,"2015","12,175,335","80"
,,"2016","10,471,608","78"
,,"2017","12,771,988","78"
,,"2018","15,039,958","91"
,,"2019","14,466,785","91"
,,"2020","9,685,755","86"
,,"2021","15,507,424","85"
,,"2022","24,048,148","89"
,,"2023","20,752,207","97"
,,"2024","22,488,390","93"
,"Chemical manufacturing  [325]","2007","25,961,224","1,110"
,,"2008","26,408,685","1,119"
,,"2009","23,532,860","1,068"
,,"2010","25,305,047","1,022"
,,"2011","25,272,990","1,028"
,,"2012","26,201,408","1,052"
,,"2013","25,434,578","1,029"
,,"2014","28,249,693","1,055"
,,"2015","31,342,330","1,061"
,,"2016","31,126,128","1,086"
,,"2017","28,721,204","1,121"
,,"2018","32,979,102","1,131"
,,"2019","32,221,573","1,122"
,,"2020","30,686,572","1,112"
,,"2021","36,190,180","1,139"
,,"2022","42,002,923","1,164"
