"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
,,"2010","658,064","29"
,,"2011","1,505,077","37"
,,"2012","552,469","32"
,,"2013","603,237","34"
,,"2014","677,500","29"
,,"2015","1,130,701","36"
,,"2016","982,396","34"
,,"2017","738,244","34"
,,"2018","1,396,893","48"
,,"2019","3,330,117","44"
,,"2020","2,014,093","42"
,,"2021","940,801","39"
,,"2022","1,490,363","43"
,,"2023","1,414,817","45"
,,"2024","1,450,727","49"
,"Support activities for mining, and oil and gas extraction  [213]","2007","940,575","35"
,,"2008","451,532","38"
,,"2009","228,632","29"
,,"2010","171,360","29"
,,"2011","297,773","34"
,,"2012","279,198","32"
,,"2013","494,825","35"
,,"2014","467,553","37"
,,"2015","318,840","27"
,,"2016","42,426","25"
,,"2017","42,248","25"
,,"2018","315,983","33"
,,"2019","212,798","27"
,,"2020","295,791","26"
,,"2021","555,468","35"
,,"2022","151,550","36"
,,"2023","185,243","42"
,,"2024","171,843","38"
,"Utilities  [22]","2007","420,657","37"
,,"2008","839,090","35"
,,"2009","334,558","35"
,,"2010","802,417","35"
,,"2011","371,934","35"
,,"2012","449,756","38"
,,"2013","845,185","45"
,,"2014","506,597","35"
,,"2015","468,532","30"
,,"2016","368,043","36"
,,"2017","296,068","27"
,,"2018","319,147","39"
,,"2019","400,113","34"
,,"2020","452,061","36"
,,"2021","512,699","48"
,,"2022","1,316,407","52"
,,"2023","710,237","59"
,,"2024","639,063","65"
,"Construction  [23]","2007","1,047,725","708"
,,"2008","906,286","695"
,,"2009","677,550","554"
,,"2010","483,781","495"
,,"2011","276,074","504"
,,"2012","183,510","486"
,,"2013","386,889","477"
,,"2014","269,874","521"
,,"2015","766,025","575"
,,"2016","698,340","592"
,,"2017","1,108,653","591"
,,"2018","1,126,429","606"
,,"2019","1,071,777","661"
,,"2020","820,530","644"
,,"2021","874,786","810"
,,"2022","964,659","824"
,,"2023","1,162,552","888"
,,"2024","1,350,582","908"
,"Manufacturing  [31-33]","2007","143,688,597","9,692"
,,"2008","131,403,176","9,503"
,,"2009","105,442,990","8,799"
,,"2010","124,990,772","8,321"
,,"2011","135,362,942","8,229"
,,"2012","143,154,831","8,279"
,,"2013","138,026,236","8,226"
,,"2014","152,080,924","8,269"
,,"2015","168,460,666","8,289"
,,"2016","177,548,610","8,228"
,,"2017","174,162,880","8,250"
,,"2018","176,010,116","8,347"
,,"2019","176,647,897","8,377"
,,"2020","158,264,697","8,107"
,,"2021","162,405,138","8,160"
,,"2022","191,956,210","8,252"
,,"2023","212,804,418","8,319"
,,"2024","211,391,560","8,282"
,"Food manufacturing  [311]","2007","5,542,396","481"
,,"2008","7,016,594","484"
,,"2009","6,601,380","470"
,,"2010","7,267,346","443"
,,"2011","6,907,812","435"
,,"2012","8,071,340","456"
,,"2013","7,308,734","484"
,,"2014","8,196,393","497"
,,"2015","9,404,210","489"
,,"2016","9,090,393","478"
,,"2017","9,961,716","503"
,,"2018","10,941,984","499"
,,"2019","11,299,515","517"
,,"2020","11,654,637","508"
,,"2021","13,356,864","533"
,,"2022","16,597,555","545"
,,"2023","18,508,366","561"
,,"2024","18,463,112","567"
,"Beverage and tobacco product manufacturing  [312]","2007","451,553","52"
,,"2008","401,018","57"
,,"2009","440,488","57"
,,"2010","506,219","60"
,,"2011","452,910","57"
,,"2012","534,819","60"
,,"2013","517,730","71"
,,"2014","437,698","74"
,,"2015","564,666","74"
,,"2016","624,590","82"
,,"2017","507,684","95"
,,"2018","641,978","99"
,,"2019","780,458","104"
,,"2020","841,059","93"
,,"2021","822,152","101"
,,"2022","801,622","121"
,,"2023","948,576","110"
,,"2024","1,052,016","118"
,"Textile mills  [313]","2007","359,377","82"
,,"2008","350,720","71"
,,"2009","314,583","67"
,,"2010","347,544","60"
,,"2011","360,989","60"
,,"2012","360,649","61"
,,"2013","490,153","64"
,,"2014","396,799","60"
,,"2015","1,094,339","57"
,,"2016","615,738","54"
,,"2017","730,327","48"
,,"2018","550,802","45"
,,"2019","555,092","46"
,,"2020","307,612","45"
,,"2021","457,286","48"
,,"2022","536,036","43"
,,"2023","614,049","40"
,,"2024","577,708","39"
,"Textile product mills  [314]","2007","308,215","133"
,,"2008","252,364","132"
,,"2009","188,753","113"
,,"2010","181,362","103"
,,"2011","214,076","102"
,,"2012","263,125","99"
,,"2013","314,942","89"
,,"2014","287,310","102"
,,"2015","683,167","93"
,,"2016","244,255","93"
,,"2017","238,131","89"
,,"2018","278,835","103"
,,"2019","207,270","90"
,,"2020","196,685","90"
,,"2021","230,608","85"
,,"2022","221,702","93"
,,"2023","239,276","89"
,,"2024","196,332","89"
,"Apparel manufacturing  [315]","2007","213,712","297"
,,"2008","161,372","270"
,,"2009","126,015","230"
,,"2010","124,217","205"
,,"2011","137,656","198"
,,"2012","155,717","216"
,,"2013","162,879","192"
,,"2014","186,770","200"
,,"2015","148,868","215"
,,"2016","159,310","183"
,,"2017","188,203","178"
,,"2018","400,942","167"
,,"2019","467,115","179"
,,"2020","413,429","163"
,,"2021","551,183","163"
,,"2022","515,356","151"
,,"2023","521,839","138"
,,"2024","561,628","137"
,"Leather and allied product manufacturing  [316]","2007","23,797","43"
,,"2008","20,079","42"
,,"2009","28,280","42"
,,"2010","41,875","35"
,,"2011","53,871","35"
,,"2012","67,649","36"
,,"2013","81,451","33"
,,"2014","98,607","33"
,,"2015","143,056","36"
,,"2016","140,042","33"
,,"2017","104,726","33"
,,"2018","83,642","28"
,,"2019","79,519","25"
,,"2020","48,628","27"
,,"2021","67,167","31"
,,"2022","97,490","24"
,,"2023","112,565","24"
,,"2024","94,884","25"
,"Wood product manufacturing  [321]","2007","1,231,325","319"
,,"2008","779,308","297"
,,"2009","591,017","259"
,,"2010","652,685","236"
,,"2011","551,452","224"
,,"2012","559,355","222"
,,"2013","872,091","226"
,,"2014","752,346","236"
,,"2015","886,916","244"
,,"2016","1,800,176","239"
,,"2017","1,968,274","220"
,,"2018","2,085,947","225"
,,"2019","1,752,856","238"
,,"2020","2,061,698","226"
,,"2021","3,433,653","224"
,,"2022","3,222,746","231"
,,"2023","2,591,888","231"
,,"2024","3,190,439","234"
,"Paper manufacturing  [322]","2007","2,949,190","234"
,,"2008","2,983,012","225"
,,"2009","2,404,773","215"
,,"2010","2,558,778","209"
,,"2011","2,888,017","210"
,,"2012","2,628,429","207"
,,"2013","2,151,269","186"
,,"2014","2,590,475","184"
,,"2015","2,893,006","172"
,,"2016","3,107,380","167"
,,"2017","3,003,677","161"
,,"2018","3,031,147","172"
,,"2019","3,032,026","164"
,,"2020","3,176,610","165"
,,"2021","2,989,624","157"
,,"2022","3,375,005","157"
,,"2023","3,543,994","146"
,,"2024","3,424,336","143"
,"Printing and related support activities  [323]","2007","503,801","456"
,,"2008","486,444","432"
,,"2009","408,415","368"
,,"2010","502,294","341"
,,"2011","432,521","343"
,,"2012","450,213","325"
,,"2013","398,801","308"
,,"2014","611,808","306"
,,"2015","794,756","308"
,,"2016","622,356","322"
,,"2017","486,019","313"
,,"2018","453,731","315"
,,"2019","355,191","326"
,,"2020","331,022","299"
,,"2021","314,472","301"
,,"2022","377,976","322"
,,"2023","390,973","325"
,,"2024","566,036","338"
,"Petroleum and coal product manufacturing  [324]","2007","2,391,118","42"
,,"2008","1,189,392","36"
,,"2009","937,403","37"
,,"2010","1,026,749","32"
,,"2011","1,566,196","31"
,,"2012","1,373,685","29"
,,"2013","819,921","24"
,,"2014","876,287","28"
,,"2015","927,668","29"
,,"2016","1,183,806","33"
,,"2017","1,153,309","32"
,,"2018","1,879,649","36"
,,"2019","1,573,832","37"
,,"2020","1,127,866","33"
,,"2021","1,614,923","30"
,,"2022","2,032,942","34"
,,"2023","2,021,218","34"
,,"2024","1,844,670","33"
,"Chemical manufacturing  [325]","2007","14,340,369","525"
,,"2008","13,260,120","529"
,,"2009","12,929,462","505"
,,"2010","13,467,672","482"
,,"2011","12,342,515","474"
,,"2012","12,697,584","482"
,,"2013","12,401,900","487"
,,"2014","14,503,311","481"
,,"2015","15,549,310","500"
,,"2016","15,597,691","510"
,,"2017","13,588,238","514"
,,"2018","15,943,342","516"
,,"2019","15,483,793","501"
,,"2020","15,267,082","498"
,,"2021","16,512,966","499"
,,"2022","19,630,168","498"
,,"2023","19,663,205","496"
,,"2024","21,144,562","488"
,"Plastics and rubber products manufacturing  [326]","2007","5,965,849","769"
,,"2008","5,302,677","767"
,,"2009","4,452,388","695"
,,"2010","4,608,582","679"
,,"2011","5,347,987","668"
,,"2012","5,433,372","668"
,,"2013","5,328,942","673"
,,"2014","6,212,462","679"
,,"2015","7,153,635","664"
,,"2016","7,460,960","660"
,,"2017","7,554,553","672"
,,"2018","7,770,337","670"
,,"2019","7,799,840","675"
,,"2020","7,104,088","653"
,,"2021","8,123,559","649"
,,"2022","9,581,573","640"
,,"2023","9,317,846","647"
,,"2024","10,269,324","644"
,"Non-metallic mineral product manufacturing  [327]","2007","1,006,164","277"
,,"2008","908,597","263"
,,"2009","777,105","241"
,,"2010","778,772","226"
,,"2011","799,175","224"
,,"2012","851,645","224"
,,"2013","819,314","202"
,,"2014","879,021","209"
,,"2015","1,059,522","201"
,,"2016","1,130,256","206"
,,"2017","1,179,841","202"
,,"2018","1,283,184","197"
,,"2019","1,349,854","194"
,,"2020","1,206,140","183"
,,"2021","1,324,269","185"
,,"2022","1,387,118","189"
,,"2023","1,408,202","195"
,,"2024","1,387,636","197"
,"Primary metal manufacturing  [331]","2007","14,776,793","204"
,,"2008","18,503,243","207"
,,"2009","13,034,998","196"
,,"2010","18,982,059","188"
,,"2011","25,254,229","179"
,,"2012","23,561,269","170"
,,"2013","20,760,932","171"
,,"2014","25,105,006","167"
,,"2015","23,826,273","175"
,,"2016","23,752,734","175"
,,"2017","25,461,096","172"
,,"2018","24,881,801","164"
,,"2019","23,905,039","158"
,,"2020","23,869,431","160"
,,"2021","25,546,691","166"
,,"2022","33,247,852","162"
,,"2023","29,853,610","164"
,,"2024","31,498,424","157"
,"Fabricated metal product manufacturing  [332]","2007","5,792,962","1,547"
,,"2008","5,666,300","1,539"
,,"2009","3,792,023","1,390"
,,"2010","3,854,417","1,324"
,,"2011","4,189,222","1,335"
,,"2012","4,359,933","1,322"
,,"2013","4,510,349","1,334"
,,"2014","4,964,324","1,297"
,,"2015","5,975,131","1,304"
,,"2016","5,728,648","1,282"
,,"2017","5,561,189","1,296"
,,"2018","6,154,887","1,327"
,,"2019","6,436,920","1,354"
,,"2020","5,659,341","1,309"
,,"2021","6,112,000","1,348"
,,"2022","7,024,924","1,362"
,,"2023","7,652,691","1,390"
,,"2024","8,052,557","1,401"
,"Machinery manufacturing  [333]","2007","7,086,727","1,453"
,,"2008","7,103,787","1,409"
,,"2009","5,893,960","1,336"
,,"2010","5,984,309","1,260"
,,"2011","6,597,845","1,258"
,,"2012","7,389,230","1,284"
,,"2013","7,390,307","1,284"
,,"2014","7,690,079","1,263"
,,"2015","9,606,359","1,277"
,,"2016","9,784,401","1,289"
,,"2017","10,776,883","1,288"
,,"2018","11,320,231","1,305"
,,"2019","11,149,868","1,313"
,,"2020","9,507,839","1,268"
,,"2021","10,540,968","1,284"
,,"2022","12,437,486","1,297"
,,"2023","14,273,563","1,310"
,,"2024","13,047,974","1,305"
,"Computer and electronic product manufacturing  [334]","2007","5,816,878","636"
,,"2008","5,610,147","641"
,,"2009","5,981,817","620"
,,"2010","5,249,832","595"
,,"2011","4,950,748","567"
,,"2012","4,187,852","569"
,,"2013","3,873,568","551"
,,"2014","3,946,910","551"
,,"2015","3,961,292","540"
,,"2016","4,320,329","525"
,,"2017","4,217,673","515"
,,"2018","4,561,266","526"
,,"2019","5,072,377","496"
,,"2020","4,385,398","498"
,,"2021","4,787,444","482"
,,"2022","5,673,419","483"
,,"2023","6,248,382","470"
,,"2024","6,027,766","452"
,"Electrical equipment, appliance and component manufacturing  [335]","2007","2,141,937","336"
,,"2008","2,218,545","324"
,,"2009","1,658,581","296"
,,"2010","1,530,718","280"
,,"2011","1,659,886","291"
,,"2012","1,579,912","295"
,,"2013","1,529,705","306"
,,"2014","1,692,843","300"
,,"2015","2,202,290","308"
,,"2016","2,156,831","307"
,,"2017","2,310,358","318"
,,"2018","2,035,774","288"
,,"2019","2,093,105","293"
,,"2020","2,075,142","283"
,,"2021","2,203,079","276"
,,"2022","2,703,170","273"
,,"2023","3,228,607","280"
,,"2024","3,398,847","275"
,"Transportation equipment manufacturing  [336]","2007","68,200,446","637"
,,"2008","53,659,641","638"
,,"2009","39,530,986","597"
,,"2010","52,113,788","561"
,,"2011","53,217,020","545"
,,"2012","62,235,982","544"
,,"2013","61,015,614","541"
,,"2014","65,744,961","549"
,,"2015","74,342,659","553"
,,"2016","82,379,369","544"
,,"2017","78,526,446","560"
,,"2018","75,304,124","564"
,,"2019","75,593,748","560"
,,"2020","57,790,493","551"
,,"2021","52,280,056","555"
,,"2022","61,077,805","556"
,,"2023","80,548,644","574"
,,"2024","71,363,491","569"
,"Furniture and related product manufacturing  [337]","2007","1,999,031","484"
,,"2008","1,898,124","448"
,,"2009","1,379,067","428"
,,"2010","1,334,124","394"
,,"2011","1,488,623","385"
,,"2012","1,460,480","389"
,,"2013","1,625,028","357"
,,"2014","1,735,432","377"
,,"2015","2,090,200","384"
,,"2016","2,523,415","381"
,,"2017","2,436,411","365"
,,"2018","2,300,836","380"
,,"2019","2,475,982","374"
,,"2020","2,095,324","351"
,,"2021","2,099,320","349"
,,"2022","2,628,933","357"
,,"2023","2,747,504","379"
,,"2024","2,766,287","378"
,"Miscellaneous manufacturing  [339]","2007","2,586,958","685"
,,"2008","3,631,692","692"
,,"2009","3,971,494","637"
,,"2010","3,877,428","608"
,,"2011","5,950,191","608"
,,"2012","4,932,593","621"
,,"2013","5,652,606","643"
,,"2014","5,172,084","676"
,,"2015","5,153,342","666"
,,"2016","5,125,930","665"
,,"2017","4,208,128","676"
,,"2018","4,105,678","721"
,,"2019","5,184,498","733"
,,"2020","9,145,169","704"
,,"2021","9,036,853","694"
,,"2022","8,785,330","714"
,,"2023","8,369,423","716"
,,"2024","12,463,531","693"
,"Wholesale trade  [41]","2007","11,779,249","5,947"
,,"2008","11,798,502","5,850"
,,"2009","8,002,926","5,247"
,,"2010","7,138,763","4,987"
,,"2011","8,374,950","5,118"
,,"2012","8,501,322","5,168"
,,"2013","8,770,717","4,927"
,,"2014","9,925,909","5,139"
,,"2015","11,412,338","5,187"
,,"2016","10,113,713","5,180"
,,"2017","10,271,687","5,132"
,,"2018","10,716,831","5,406"
,,"2019","10,797,677","5,288"
,,"2020","10,685,920","5,010"
,,"2021","13,027,843","5,290"
,,"2022","13,748,281","5,352"
,,"2023","14,779,165","5,527"
,,"2024","15,197,385","5,287"
,"Retail trade  [44-45]","2007","3,451,585","1,447"
,,"2008","603,227","1,463"
,,"2009","553,134","1,281"
,,"2010","372,583","1,153"
,,"2011","282,994","1,269"
,,"2012","433,846","1,373"
,,"2013","429,833","1,282"
,,"2014","402,830","1,379"
,,"2015","550,667","1,599"
,,"2016","610,315","1,596"
,,"2017","556,719","1,476"
,,"2018","852,633","1,633"
,,"2019","924,274","1,704"
,,"2020","901,252","1,667"
,,"2021","1,029,575","1,961"
,,"2022","768,638","1,763"
,,"2023","970,511","1,997"
,,"2024","1,139,516","2,040"
,"Transportation and warehousing  [48-49]","2007","1,312,969","812"
,,"2008","1,558,424","777"
,,"2009","2,136,860","705"
,,"2010","829,743","672"
,,"2011","666,808","699"
,,"2012","844,989","770"
,,"2013","873,258","697"
,,"2014","983,615","715"
,,"2015","1,218,641","818"
,,"2016","1,081,144","820"
,,"2017","1,356,841","853"
,,"2018","1,033,647","866"
,,"2019","1,243,551","866"
,,"2020","1,919,379","945"
,,"2021","2,100,292","1,044"
,,"2022","2,207,149","1,143"
,,"2023","2,080,208","1,225"
,,"2024","2,233,426","1,213"
,"Information and cultural industries  [51]","2007","409,115","344"
,,"2008","393,447","329"
,,"2009","425,663","258"
,,"2010","357,795","272"
,,"2011","316,711","267"
,,"2012","148,139","304"
,,"2013","146,634","261"
,,"2014","166,302","249"
,,"2015","169,366","249"
,,"2016","123,060","239"
,,"2017","123,203","225"
,,"2018","144,916","236"
,,"2019","178,516","234"
,,"2020","121,835","182"
,,"2021","107,399","178"
,,"2022","181,225","199"
,,"2023","199,821","224"
,,"2024","153,362","210"
,"Finance and insurance  [52]","2007","1,446,490","252"
,,"2008","2,212,297","237"
,,"2009","1,751,381","186"
,,"2010","4,533,833","202"
,,"2011","5,083,381","242"
,,"2012","4,474,060","211"
,,"2013","5,292,886","211"
,,"2014","3,336,838","212"
,,"2015","3,247,808","231"
,,"2016","4,590,276","211"
,,"2017","3,298,593","202"
,,"2018","4,099,791","222"
,,"2019","4,508,885","212"
,,"2020","3,248,596","171"
,,"2021","4,054,122","185"
,,"2022","4,572,026","195"
,,"2023","7,851,433","189"
,,"2024","5,662,998","178"
,"Real estate and rental and leasing  [53]","2007","445,043","311"
,,"2008","266,710","269"
,,"2009","156,773","261"
,,"2010","170,933","287"
,,"2011","135,858","320"
,,"2012","145,618","310"
,,"2013","143,401","306"
,,"2014","98,398","297"
,,"2015","100,803","323"
,,"2016","129,444","298"
,,"2017","155,230","279"
,,"2018","204,587","328"
,,"2019","193,007","341"
,,"2020","344,971","331"
,,"2021","260,841","455"
,,"2022","147,708","516"
,,"2023","165,375","468"
,,"2024","120,294","433"
,"Professional, scientific and technical services  [54]","2007","2,830,062","1,748"
,,"2008","1,824,139","1,645"
,,"2009","1,220,383","1,383"
,,"2010","1,025,427","1,269"
,,"2011","959,183","1,397"
,,"2012","875,088","1,294"
,,"2013","865,274","1,241"
,,"2014","901,325","1,253"
,,"2015","906,465","1,307"
,,"2016","960,450","1,241"
,,"2017","1,215,420","1,216"
,,"2018","1,244,966","1,309"
,,"2019","1,355,730","1,321"
,,"2020","1,770,698","1,236"
,,"2021","1,578,786","1,438"
,,"2022","1,426,451","1,493"
,,"2023","1,490,106","1,490"
,,"2024","1,723,186","1,509"
,"Management of companies and enterprises  [55]","2007","1,658,686","161"
,,"2008","1,648,840","191"
,,"2009","878,136","218"
,,"2010","1,413,111","292"
,,"2011","1,717,821","287"
,,"2012","1,666,794","322"
,,"2013","1,598,958","308"
,,"2014","1,753,540","326"
,,"2015","2,498,140","335"
,,"2016","1,054,878","291"
,,"2017","1,273,523","286"
,,"2018","845,155","212"
,,"2019","686,089","183"
,,"2020","684,136","161"
,,"2021","474,177","141"
,,"2022","17,363","85"
,,"2023","1,096","38"
,,"2024","3,820","32"
,"Administrative and support, waste management and remediation services  [56]","2007","811,438","503"
,,"2008","600,957","489"
,,"2009","294,814","464"
,,"2010","897,543","432"
,,"2011","1,685,189","429"
,,"2012","607,356","437"
,,"2013","331,279","399"
,,"2014","263,931","410"
,,"2015","290,807","451"
,,"2016","312,004","432"
,,"2017","242,625","394"
,,"2018","224,939","411"
,,"2019","325,546","421"
,,"2020","404,388","412"
,,"2021","752,015","473"
,,"2022","541,437","492"
,,"2023","811,993","496"
,,"2024","1,544,679","493"
,"Educational services  [61]","2007","21,772","91"
,,"2008","30,433","85"
,,"2009","11,937","83"
,,"2010","10,646","91"
,,"2011","9,432","95"
,,"2012","12,946","91"
,,"2013","43,048","75"
,,"2014","37,753","77"
,,"2015","35,747","92"
,,"2016","36,279","71"
,,"2017","39,300","77"
,,"2018","40,283","91"
,,"2019","86,996","81"
,,"2020","84,143","66"
,,"2021","70,923","87"
,,"2022","37,041","93"
,,"2023","36,692","83"
,,"2024","32,603","87"
,"Health care and social assistance  [62]","2007","30,231","76"
,,"2008","15,403","85"
,,"2009","17,204","78"
,,"2010","12,373","78"
,,"2011","15,652","96"
,,"2012","10,053","88"
,,"2013","104,215","98"
,,"2014","17,116","101"
,,"2015","16,507","99"
,,"2016","41,115","79"
,,"2017","15,613","83"
,,"2018","19,451","121"
,,"2019","118,946","102"
,,"2020","24,744","102"
,,"2021","34,864","149"
,,"2022","38,174","157"
,,"2023","56,100","176"
,,"2024","62,885","176"
,"Arts, entertainment and recreation  [71]","2007","99,016","183"
,,"2008","49,724","165"
,,"2009","50,414","145"
,,"2010","43,635","127"
,,"2011","58,450","134"
,,"2012","33,787","178"
,,"2013","18,474","188"
,,"2014","28,869","182"
,,"2015","40,826","179"
,,"2016","32,943","199"
,,"2017","35,116","198"
,,"2018","40,080","220"
,,"2019","109,184","215"
,,"2020","14,945","137"
,,"2021","22,964","188"
,,"2022","33,828","210"
,,"2023","38,862","232"
,,"2024","47,005","243"
,"Accommodation and food services  [72]","2007","27,419","86"
,,"2008","15,654","57"
,,"2009","10,367","51"
,,"2010","4,938","57"
,,"2011","4,314","51"
,,"2012","1,892","46"
,,"2013","15,736","45"
,,"2014","16,155","46"
,,"2015","21,131","48"
,,"2016","7,269","52"
,,"2017","4,659","57"
,,"2018","12,081","65"
,,"2019","17,167","62"
,,"2020","12,998","50"
,,"2021","10,135","57"
,,"2022","10,708","65"
,,"2023","15,933","68"
,,"2024","17,786","84"
,"Other services (except public administration)  [81]","2007","381,838","591"
,,"2008","353,185","571"
,,"2009","258,702","485"
,,"2010","136,569","469"
,,"2011","142,878","470"
,,"2012","152,526","457"
,,"2013","197,927","451"
,,"2014","276,727","478"
,,"2015","350,603","513"
,,"2016","348,606","471"
,,"2017","458,726","483"
,,"2018","347,294","453"
,,"2019","283,300","466"
,,"2020","240,948","430"
,,"2021","197,425","510"
,,"2022","256,144","542"
,,"2023","256,112","551"
,,"2024","254,478","505"
,"Public administration  [91]","2007","83,956","33"
,,"2008","233,266","28"
,,"2009","37,857","27"
,,"2010","55,545","31"
,,"2011","13,857","28"
,,"2012","12,715","34"
,,"2013","20,172","28"
,,"2014","19,326","31"
,,"2015","14,120","37"
,,"2016","18,099","30"
,,"2017","30,351","29"
,,"2018","17,708","32"
,,"2019","9,592","30"
,,"2020","7,763","21"
,,"2021","6,925","27"
,,"2022","150,756","26"
,,"2023","118,073","26"
,,"2024","138,542","27"
"Manitoba","All industries","2007","12,426,305","1,758"
,,"2008","15,182,408","1,741"
,,"2009","12,176,498","1,625"
,,"2010","13,279,175","1,570"
,,"2011","15,790,207","1,724"
,,"2012","17,323,799","1,670"
,,"2013","15,393,216","1,697"
,,"2014","17,802,556","2,049"
,,"2015","17,460,785","1,966"
,,"2016","17,522,941","1,733"
,,"2017","17,766,791","1,718"
,,"2018","19,317,381","1,749"
,,"2019","22,381,886","1,821"
,,"2020","24,407,420","1,696"
,,"2021","26,554,590","1,869"
,,"2022","30,601,568","1,867"
,,"2023","32,646,745","1,857"
,,"2024","30,922,130","1,815"
,"Agriculture, forestry, fishing and hunting  [11]","2007","382,201","363"
,,"2008","391,233","388"
,,"2009","384,007","321"
,,"2010","308,231","305"
,,"2011","301,424","358"
,,"2012","374,729","347"
,,"2013","223,262","394"
,,"2014","472,957","713"
,,"2015","445,908","572"
,,"2016","300,836","411"
,,"2017","259,374","385"
,,"2018","260,107","396"
,,"2019","290,294","452"
,,"2020","338,104","374"
,,"2021","413,459","407"
,,"2022","503,072","386"
,,"2023","561,531","378"
,,"2024","526,071","352"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","264,868","10"
,,"2008","54,316","8"
,,"2009","46,247","9"
,,"2010","29,799","9"
,,"2011","49,166","9"
,,"2012","201,298","12"
,,"2013","99,104","11"
,,"2014","67,784","9"
,,"2015","169,124","7"
,,"2016","75,925","9"
,,"2017","76,541","12"
,,"2018","57,408","12"
,,"2019","57,022","10"
,,"2020","113,749","13"
,,"2021","138,056","14"
,,"2022","605,087","11"
,,"2023","616,646","11"
,,"2024","812,251","10"
,"Oil and gas extraction  [211]","2007","..",".."
,,"2008","..",".."
,,"2009","..",".."
,,"2010","..",".."
,,"2011","8,185","F"
,,"2012","4,450","F"
,,"2013","..",".."
,,"2014","..",".."
,,"2015","..",".."
,,"2016","..",".."
,,"2017","..",".."
,,"2018","..",".."
,,"2019","..",".."
,,"2020","..",".."
,,"2021","..",".."
,,"2022","324,634","F"
,,"2023","350,945","F"
,,"2024","551,630","F"
,"Mining and quarrying (except oil and gas)  [212]","2007","264,684","7"
,,"2008","53,451","5"
,,"2009","45,732","7"
,,"2010","26,602","6"
,,"2011","33,588","5"
,,"2012","183,998","7"
,,"2013","67,779","7"
,,"2014","65,953","6"
,,"2015","167,475","6"
,,"2016","71,046","5"
,,"2017","73,770","7"
,,"2018","51,422","7"
,,"2019","52,844","6"
,,"2020","110,635","10"
,,"2021","133,025","9"
,,"2022","276,845","9"
,,"2023","261,644","6"
,,"2024","258,689","7"
,"Support activities for mining, and oil and gas extraction  [213]","2007","184","3"
,,"2008","866","3"
,,"2009","515","F"
,,"2010","3,198","3"
,,"2011","7,392","F"
,,"2012","12,851","3"
,,"2013","31,325","4"
,,"2014","1,831","3"
,,"2015","1,649","F"
,,"2016","4,880","4"
,,"2017","2,772","5"
,,"2018","5,986","5"
,,"2019","4,179","4"
,,"2020","3,114","3"
,,"2021","5,030","5"
,,"2022","3,608","F"
,,"2023","4,057","F"
,,"2024","1,932","F"
,"Utilities  [22]","2007","772,502","3"
,,"2008","477,240","3"
,,"2009","321,286","3"
,,"2010","320,585","F"
,,"2011","289,859","F"
,,"2012","284,501","4"
,,"2013","371,635","4"
,,"2014","384,770","5"
,,"2015","428,506","7"
,,"2016","430,104","7"
,,"2017","445,413","6"
,,"2018","397,245","4"
,,"2019","314,985","5"
,,"2020","338,231","3"
,,"2021","489,162","3"
,,"2022","877,018","F"
,,"2023","728,819","F"
,,"2024","671,325","5"
,"Construction  [23]","2007","26,871","49"
,,"2008","48,719","43"
,,"2009","13,847","44"
,,"2010","8,113","40"
,,"2011","15,233","40"
,,"2012","21,960","45"
,,"2013","58,036","51"
,,"2014","67,314","55"
,,"2015","93,345","49"
,,"2016","51,276","50"
,,"2017","63,747","49"
,,"2018","120,110","59"
,,"2019","32,915","56"
,,"2020","43,450","55"
,,"2021","36,376","67"
,,"2022","42,259","79"
,,"2023","61,452","74"
,,"2024","53,293","66"
,"Manufacturing  [31-33]","2007","5,410,980","615"
,,"2008","5,937,842","609"
,,"2009","5,857,205","552"
,,"2010","6,030,047","538"
,,"2011","6,466,046","561"
,,"2012","7,510,491","545"
,,"2013","9,133,540","526"
,,"2014","6,959,530","526"
,,"2015","6,594,848","537"
,,"2016","8,602,217","532"
,,"2017","8,429,597","506"
,,"2018","9,939,076","535"
,,"2019","12,236,649","546"
,,"2020","9,586,631","560"
,,"2021","9,961,602","561"
,,"2022","11,165,110","567"
,,"2023","12,081,558","569"
,,"2024","11,956,486","582"
,"Food manufacturing  [311]","2007","1,034,438","55"
,,"2008","1,252,741","61"
,,"2009","1,388,921","55"
,,"2010","1,320,863","54"
,,"2011","1,453,963","48"
,,"2012","1,828,885","44"
,,"2013","4,623,312","46"
,,"2014","2,273,892","45"
,,"2015","1,232,489","45"
,,"2016","2,296,562","48"
,,"2017","2,070,819","51"
,,"2018","2,102,219","54"
,,"2019","1,719,774","54"
,,"2020","2,325,158","57"
,,"2021","2,322,146","61"
,,"2022","2,205,461","62"
,,"2023","2,244,824","62"
,,"2024","2,920,759","64"
,"Beverage and tobacco product manufacturing  [312]","2007","4,605","4"
,,"2008","10,641","5"
,,"2009","6,586","5"
,,"2010","3,278","F"
,,"2011","1,575","5"
,,"2012","1,486","F"
,,"2013","2,201","F"
,,"2014","3,819","F"
,,"2015","2,154","5"
,,"2016","264","F"
,,"2017","250","4"
