year,province,naics_6digit,emissions,synthetic
2023,Ontario,311224.0,84400.1538,False
2023,Alberta,211110.0,64472.6704,False
2023,Saskatchewan,212396.0,0.0,False
2023,Alberta,331110.0,0.0,False
2023,Alberta,327990.0,190213.8136,False
2023,Ontario,311224.0,48779.68761,False
2023,British Columbia,322111.0,1202.242459,False
2023,Ontario,327420.0,80122.6267,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,British Columbia,211110.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Ontario,221112.0,113.461617,False
2023,British Columbia,562210.0,67663.69027,False
2023,TRENTON,239.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,211110.0,12412.53546,False
2023,Alberta,211110.0,12434.91048,False
2023,Alberta,211110.0,42428.30517,False
2023,British Columbia,327420.0,26309.779,False
2023,British Columbia,327410.0,58380.20052,False
2023,Alberta,562210.0,79468.28,False
2023,Saskatchewan,562210.0,98533.9098,False
2023,British Columbia,562210.0,127174.1318,False
2023,Manitoba,562210.0,0.0,False
2023,Alberta,211110.0,29282.4127,False
2023,British Columbia,211110.0,42675.18709,False
2023,Alberta,211110.0,0.0,False
2023,Quebec,322121.0,0.0,False
2023,Ontario,221112.0,6441.71197,False
2023,British Columbia,211110.0,9824.5995,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,211110.0,82803.0705,False
2023,British Columbia,211110.0,84075.7496,False
2023,British Columbia,211110.0,0.0,False
2023,Ontario,221330.0,131012.287,False
2023,Ontario,221330.0,80358.187,False
2023,Alberta,221320.0,41924.99,False
2023,Alberta,211141.0,3558088.268,False
2023,Ontario,321216.0,0.0,False
2023,Ontario,336110.0,0.0,False
2023, Kenora District,5656.0,0.0,False
2023,Ontario,221112.0,994989.8364,False
2023,British Columbia,562210.0,127243.9639,False
2023,Ontario,562210.0,135813.4547,False
2023,Ontario,325190.0,106587.997,False
2023,Alberta,324121.0,98123.81869,False
2023,Alberta,211110.0,47835.48937,False
2023,Ontario,325190.0,130731.8258,False
2023,Ontario,325220.0,0.0,False
2023,Ontario,322121.0,0.0,False
2023,Ontario,325190.0,131319.2736,False
2023,Alberta,211110.0,0.0,False
2023,British Columbia,322121.0,0.0,False
2023,Gatineau,5535.0,0.0,False
2023,UTOPIA,1572.0,0.0,False
2023,Quebec,311310.0,79543.8439,False
2023,Alberta,311310.0,105548.8941,False
2023,Lachute,8760.0,0.0,False
2023,HALEY,7080.0,1.861,False
2023,Saskatchewan,322111.0,69006.8985,False
2023,Alberta,211141.0,0.0,False
2023,Alberta,322111.0,0.0,False
2023,Alberta,211110.0,39323.89269,False
2023,Ontario,325210.0,46374.0889,False
2023,Northwest Territories,221112.0,10396.3322,False
2023,Northwest Territories,221112.0,8315.5224,False
2023,Northwest Territories,221112.0,51969.7218,False
2023,Quebec,327214.0,60990.293,False
2023,British Columbia,212114.0,23767.447,False
2023,Alberta,211110.0,87459.03424,False
2023,Saskatchewan,212396.0,0.0,False
2023,Saskatchewan,212116.0,44869.93518,False
2023,Quebec,322121.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Ontario,311310.0,71942.29356,False
2023,Quebec,562210.0,0.0,False
2023,Ontario,562210.0,0.0,False
2023,Ontario,562210.0,0.0,False
2023,Quebec,562210.0,67372.743,False
2023,Quebec,611310.0,27786.48,False
2023,Montréal,6369.0,0.0,False
2023,Saskatchewan,211110.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,British Columbia,211110.0,0.0,False
2023,British Columbia,211110.0,0.0,False
2023,Ontario,221112.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,211110.0,0.0,False
2023,Alberta,211141.0,5717647.851,False
2023,Alberta,211142.0,7650111.5,False
2023,Ontario,325190.0,139220.0239,False
2023,Alberta,211110.0,56148.81427,False
2023,Alberta,211110.0,56985.17876,False
2023,Saskatchewan,325190.0,0.0,False
2023,Alberta,321111.0,0.0,False
2023,Ontario,336110.0,73622.31664,False
2023,Alberta,611310.0,215992.592,False
2023,Ontario,611310.0,15221.832,False
2023,British Columbia,211110.0,0.0,False
2023,Manitoba,212232.0,18826.37292,False
2023,Newfoundland and Labrador,212232.0,173788.2653,False
2023,Quebec,221320.0,82414.004,False
2023,Quebec,562210.0,0.0,False
2023,British Columbia,221119.0,39187.83633,False
2023,Quesnel,2553.0,0.0,False
